keyword,search_volume,competition,competition_level,cpc,monthly_searches
lentils,201000,HIGH,,0.38,"[{'year': 2025, 'month': 6, 'search_volume': 201000}, {'year': 2025, 'month': 5, 'search_volume': 201000}, {'year': 2025, 'month': 4, 'search_volume': 246000}, {'year': 2025, 'month': 3, 'search_volume': 246000}, {'year': 2025, 'month': 2, 'search_volume': 201000}, {'year': 2025, 'month': 1, 'search_volume': 246000}, {'year': 2024, 'month': 12, 'search_volume': 246000}, {'year': 2024, 'month': 11, 'search_volume': 165000}, {'year': 2024, 'month': 10, 'search_volume': 201000}, {'year': 2024, 'month': 9, 'search_volume': 165000}, {'year': 2024, 'month': 8, 'search_volume': 165000}, {'year': 2024, 'month': 7, 'search_volume': 165000}]"
lentil pasta,9900,HIGH,,0.31,"[{'year': 2025, 'month': 6, 'search_volume': 12100}, {'year': 2025, 'month': 5, 'search_volume': 9900}, {'year': 2025, 'month': 4, 'search_volume': 9900}, {'year': 2025, 'month': 3, 'search_volume': 9900}, {'year': 2025, 'month': 2, 'search_volume': 9900}, {'year': 2025, 'month': 1, 'search_volume': 18100}, {'year': 2024, 'month': 12, 'search_volume': 8100}, {'year': 2024, 'month': 11, 'search_volume': 9900}, {'year': 2024, 'month': 10, 'search_volume': 12100}, {'year': 2024, 'month': 9, 'search_volume': 9900}, {'year': 2024, 'month': 8, 'search_volume': 9900}, {'year': 2024, 'month': 7, 'search_volume': 9900}]"
black lentils,18100,HIGH,,0.42,"[{'year': 2025, 'month': 6, 'search_volume': 14800}, {'year': 2025, 'month': 5, 'search_volume': 18100}, {'year': 2025, 'month': 4, 'search_volume': 18100}, {'year': 2025, 'month': 3, 'search_volume': 18100}, {'year': 2025, 'month': 2, 'search_volume': 18100}, {'year': 2025, 'month': 1, 'search_volume': 27100}, {'year': 2024, 'month': 12, 'search_volume': 18100}, {'year': 2024, 'month': 11, 'search_volume': 18100}, {'year': 2024, 'month': 10, 'search_volume': 27100}, {'year': 2024, 'month': 9, 'search_volume': 18100}, {'year': 2024, 'month': 8, 'search_volume': 12100}, {'year': 2024, 'month': 7, 'search_volume': 14800}]"
red lentils,22200,HIGH,,0.32,"[{'year': 2025, 'month': 6, 'search_volume': 18100}, {'year': 2025, 'month': 5, 'search_volume': 22200}, {'year': 2025, 'month': 4, 'search_volume': 22200}, {'year': 2025, 'month': 3, 'search_volume': 27100}, {'year': 2025, 'month': 2, 'search_volume': 22200}, {'year': 2025, 'month': 1, 'search_volume': 33100}, {'year': 2024, 'month': 12, 'search_volume': 27100}, {'year': 2024, 'month': 11, 'search_volume': 33100}, {'year': 2024, 'month': 10, 'search_volume': 22200}, {'year': 2024, 'month': 9, 'search_volume': 22200}, {'year': 2024, 'month': 8, 'search_volume': 18100}, {'year': 2024, 'month': 7, 'search_volume': 18100}]"
green lentils,9900,HIGH,,0.32,"[{'year': 2025, 'month': 6, 'search_volume': 8100}, {'year': 2025, 'month': 5, 'search_volume': 8100}, {'year': 2025, 'month': 4, 'search_volume': 8100}, {'year': 2025, 'month': 3, 'search_volume': 12100}, {'year': 2025, 'month': 2, 'search_volume': 9900}, {'year': 2025, 'month': 1, 'search_volume': 12100}, {'year': 2024, 'month': 12, 'search_volume': 8100}, {'year': 2024, 'month': 11, 'search_volume': 8100}, {'year': 2024, 'month': 10, 'search_volume': 8100}, {'year': 2024, 'month': 9, 'search_volume': 8100}, {'year': 2024, 'month': 8, 'search_volume': 6600}, {'year': 2024, 'month': 7, 'search_volume': 6600}]"
puy lentils,3600,HIGH,,0.53,"[{'year': 2025, 'month': 6, 'search_volume': 2900}, {'year': 2025, 'month': 5, 'search_volume': 2900}, {'year': 2025, 'month': 4, 'search_volume': 3600}, {'year': 2025, 'month': 3, 'search_volume': 3600}, {'year': 2025, 'month': 2, 'search_volume': 3600}, {'year': 2025, 'month': 1, 'search_volume': 6600}, {'year': 2024, 'month': 12, 'search_volume': 4400}, {'year': 2024, 'month': 11, 'search_volume': 5400}, {'year': 2024, 'month': 10, 'search_volume': 4400}, {'year': 2024, 'month': 9, 'search_volume': 3600}, {'year': 2024, 'month': 8, 'search_volume': 2400}, {'year': 2024, 'month': 7, 'search_volume': 2900}]"
beluga lentils,6600,HIGH,,0.45,"[{'year': 2025, 'month': 6, 'search_volume': 6600}, {'year': 2025, 'month': 5, 'search_volume': 5400}, {'year': 2025, 'month': 4, 'search_volume': 5400}, {'year': 2025, 'month': 3, 'search_volume': 6600}, {'year': 2025, 'month': 2, 'search_volume': 6600}, {'year': 2025, 'month': 1, 'search_volume': 6600}, {'year': 2024, 'month': 12, 'search_volume': 5400}, {'year': 2024, 'month': 11, 'search_volume': 5400}, {'year': 2024, 'month': 10, 'search_volume': 14800}, {'year': 2024, 'month': 9, 'search_volume': 8100}, {'year': 2024, 'month': 8, 'search_volume': 4400}, {'year': 2024, 'month': 7, 'search_volume': 4400}]"
bulk lentils,1000,HIGH,,1.2,"[{'year': 2025, 'month': 6, 'search_volume': 720}, {'year': 2025, 'month': 5, 'search_volume': 1000}, {'year': 2025, 'month': 4, 'search_volume': 1300}, {'year': 2025, 'month': 3, 'search_volume': 1000}, {'year': 2025, 'month': 2, 'search_volume': 1300}, {'year': 2025, 'month': 1, 'search_volume': 1300}, {'year': 2024, 'month': 12, 'search_volume': 1000}, {'year': 2024, 'month': 11, 'search_volume': 1000}, {'year': 2024, 'month': 10, 'search_volume': 880}, {'year': 2024, 'month': 9, 'search_volume': 880}, {'year': 2024, 'month': 8, 'search_volume': 880}, {'year': 2024, 'month': 7, 'search_volume': 1600}]"
brown lentils,8100,MEDIUM,,0.34,"[{'year': 2025, 'month': 6, 'search_volume': 9900}, {'year': 2025, 'month': 5, 'search_volume': 9900}, {'year': 2025, 'month': 4, 'search_volume': 9900}, {'year': 2025, 'month': 3, 'search_volume': 18100}, {'year': 2025, 'month': 2, 'search_volume': 6600}, {'year': 2025, 'month': 1, 'search_volume': 8100}, {'year': 2024, 'month': 12, 'search_volume': 5400}, {'year': 2024, 'month': 11, 'search_volume': 5400}, {'year': 2024, 'month': 10, 'search_volume': 6600}, {'year': 2024, 'month': 9, 'search_volume': 4400}, {'year': 2024, 'month': 8, 'search_volume': 3600}, {'year': 2024, 'month': 7, 'search_volume': 3600}]"
canned lentils,8100,HIGH,,0.3,"[{'year': 2025, 'month': 6, 'search_volume': 5400}, {'year': 2025, 'month': 5, 'search_volume': 5400}, {'year': 2025, 'month': 4, 'search_volume': 5400}, {'year': 2025, 'month': 3, 'search_volume': 8100}, {'year': 2025, 'month': 2, 'search_volume': 6600}, {'year': 2025, 'month': 1, 'search_volume': 9900}, {'year': 2024, 'month': 12, 'search_volume': 6600}, {'year': 2024, 'month': 11, 'search_volume': 6600}, {'year': 2024, 'month': 10, 'search_volume': 9900}, {'year': 2024, 'month': 9, 'search_volume': 18100}, {'year': 2024, 'month': 8, 'search_volume': 9900}, {'year': 2024, 'month': 7, 'search_volume': 12100}]"
french lentils,5400,HIGH,,0.44,"[{'year': 2025, 'month': 6, 'search_volume': 3600}, {'year': 2025, 'month': 5, 'search_volume': 3600}, {'year': 2025, 'month': 4, 'search_volume': 3600}, {'year': 2025, 'month': 3, 'search_volume': 4400}, {'year': 2025, 'month': 2, 'search_volume': 5400}, {'year': 2025, 'month': 1, 'search_volume': 6600}, {'year': 2024, 'month': 12, 'search_volume': 5400}, {'year': 2024, 'month': 11, 'search_volume': 6600}, {'year': 2024, 'month': 10, 'search_volume': 8100}, {'year': 2024, 'month': 9, 'search_volume': 5400}, {'year': 2024, 'month': 8, 'search_volume': 2900}, {'year': 2024, 'month': 7, 'search_volume': 3600}]"
yellow lentils,5400,HIGH,,0.35,"[{'year': 2025, 'month': 6, 'search_volume': 2400}, {'year': 2025, 'month': 5, 'search_volume': 2900}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 3600}, {'year': 2025, 'month': 2, 'search_volume': 3600}, {'year': 2025, 'month': 1, 'search_volume': 5400}, {'year': 2024, 'month': 12, 'search_volume': 3600}, {'year': 2024, 'month': 11, 'search_volume': 5400}, {'year': 2024, 'month': 10, 'search_volume': 22200}, {'year': 2024, 'month': 9, 'search_volume': 9900}, {'year': 2024, 'month': 8, 'search_volume': 2900}, {'year': 2024, 'month': 7, 'search_volume': 2400}]"
red lentil soup,14800,LOW,,1.29,"[{'year': 2025, 'month': 6, 'search_volume': 8100}, {'year': 2025, 'month': 5, 'search_volume': 9900}, {'year': 2025, 'month': 4, 'search_volume': 12100}, {'year': 2025, 'month': 3, 'search_volume': 18100}, {'year': 2025, 'month': 2, 'search_volume': 18100}, {'year': 2025, 'month': 1, 'search_volume': 27100}, {'year': 2024, 'month': 12, 'search_volume': 22200}, {'year': 2024, 'month': 11, 'search_volume': 18100}, {'year': 2024, 'month': 10, 'search_volume': 18100}, {'year': 2024, 'month': 9, 'search_volume': 14800}, {'year': 2024, 'month': 8, 'search_volume': 8100}, {'year': 2024, 'month': 7, 'search_volume': 8100}]"
french green lentils,6600,HIGH,,0.49,"[{'year': 2025, 'month': 6, 'search_volume': 2900}, {'year': 2025, 'month': 5, 'search_volume': 3600}, {'year': 2025, 'month': 4, 'search_volume': 2900}, {'year': 2025, 'month': 3, 'search_volume': 3600}, {'year': 2025, 'month': 2, 'search_volume': 3600}, {'year': 2025, 'month': 1, 'search_volume': 8100}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 5400}, {'year': 2024, 'month': 10, 'search_volume': 33100}, {'year': 2024, 'month': 9, 'search_volume': 12100}, {'year': 2024, 'month': 8, 'search_volume': 1600}, {'year': 2024, 'month': 7, 'search_volume': 1600}]"
black beluga lentils,2400,HIGH,,0.48,"[{'year': 2025, 'month': 6, 'search_volume': 1900}, {'year': 2025, 'month': 5, 'search_volume': 1600}, {'year': 2025, 'month': 4, 'search_volume': 1900}, {'year': 2025, 'month': 3, 'search_volume': 2400}, {'year': 2025, 'month': 2, 'search_volume': 1900}, {'year': 2025, 'month': 1, 'search_volume': 2900}, {'year': 2024, 'month': 12, 'search_volume': 2400}, {'year': 2024, 'month': 11, 'search_volume': 2400}, {'year': 2024, 'month': 10, 'search_volume': 2900}, {'year': 2024, 'month': 9, 'search_volume': 4400}, {'year': 2024, 'month': 8, 'search_volume': 1900}, {'year': 2024, 'month': 7, 'search_volume': 1900}]"
lentil beans,8100,HIGH,,0.27,"[{'year': 2025, 'month': 6, 'search_volume': 8100}, {'year': 2025, 'month': 5, 'search_volume': 8100}, {'year': 2025, 'month': 4, 'search_volume': 8100}, {'year': 2025, 'month': 3, 'search_volume': 8100}, {'year': 2025, 'month': 2, 'search_volume': 8100}, {'year': 2025, 'month': 1, 'search_volume': 9900}, {'year': 2024, 'month': 12, 'search_volume': 9900}, {'year': 2024, 'month': 11, 'search_volume': 6600}, {'year': 2024, 'month': 10, 'search_volume': 8100}, {'year': 2024, 'month': 9, 'search_volume': 6600}, {'year': 2024, 'month': 8, 'search_volume': 6600}, {'year': 2024, 'month': 7, 'search_volume': 6600}]"
red split lentils,1300,HIGH,,0.39,"[{'year': 2025, 'month': 6, 'search_volume': 1000}, {'year': 2025, 'month': 5, 'search_volume': 1000}, {'year': 2025, 'month': 4, 'search_volume': 1300}, {'year': 2025, 'month': 3, 'search_volume': 1600}, {'year': 2025, 'month': 2, 'search_volume': 1300}, {'year': 2025, 'month': 1, 'search_volume': 2400}, {'year': 2024, 'month': 12, 'search_volume': 1600}, {'year': 2024, 'month': 11, 'search_volume': 1300}, {'year': 2024, 'month': 10, 'search_volume': 2400}, {'year': 2024, 'month': 9, 'search_volume': 1300}, {'year': 2024, 'month': 8, 'search_volume': 1000}, {'year': 2024, 'month': 7, 'search_volume': 880}]"
